t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.0050,0.191367,0.117734,1.474568,0.191367,0.117734,1.474568
0.0100,0.191087,0.116414,1.473520,0.191087,0.116414,1.473520
0.0150,0.190793,0.115057,1.472445,0.190793,0.115057,1.472445
0.0200,0.190485,0.113663,1.471347,0.190485,0.113663,1.471347
0.0250,0.190163,0.112230,1.470227,0.190163,0.112230,1.470227
0.0300,0.189829,0.110758,1.469088,0.189829,0.110758,1.469088
0.0350,0.189481,0.109248,1.467933,0.189481,0.109248,1.467933
0.0400,0.189121,0.107698,1.466763,0.189121,0.107698,1.466763
0.0450,0.188748,0.106108,1.465579,0.188748,0.106108,1.465579
0.0500,0.188364,0.104477,1.464384,0.188364,0.104477,1.464384
0.0550,0.187970,0.102805,1.463178,0.187970,0.102805,1.463178
0.0600,0.187565,0.101092,1.461963,0.187565,0.101092,1.461963
0.0650,0.187151,0.099335,1.460741,0.187151,0.099335,1.460741
0.0700,0.186729,0.097536,1.459512,0.186729,0.097536,1.459512
0.0750,0.186299,0.095692,1.458278,0.186299,0.095692,1.458278
0.0800,0.185864,0.093803,1.457040,0.185864,0.093804,1.457040
0.0850,0.185423,0.091869,1.455799,0.185423,0.091869,1.455799
0.0900,0.184978,0.089889,1.454557,0.184978,0.089889,1.454557
0.0950,0.184530,0.087862,1.453314,0.184530,0.087862,1.453314
0.1000,0.184081,0.085789,1.452072,0.184081,0.085789,1.452072
0.1050,0.183633,0.083667,1.450831,0.183633,0.083667,1.450831
0.1100,0.183186,0.081498,1.449594,0.183186,0.081498,1.449594
0.1150,0.182742,0.079282,1.448360,0.182742,0.079282,1.448360
0.1200,0.182302,0.077017,1.447131,0.182302,0.077017,1.447131
0.1250,0.181869,0.074705,1.445908,0.181869,0.074705,1.445908
0.1300,0.181444,0.072346,1.444692,0.181444,0.072346,1.444692
0.1350,0.181029,0.069939,1.443484,0.181029,0.069939,1.443483
0.1400,0.180625,0.067486,1.442283,0.180625,0.067486,1.442283
0.1450,0.180235,0.064987,1.441089,0.180235,0.064987,1.441089
0.1500,0.179860,0.062443,1.439902,0.179860,0.062443,1.439902
0.1550,0.179501,0.059855,1.438723,0.179501,0.059855,1.438723
0.1600,0.179161,0.057224,1.437554,0.179161,0.057224,1.437553
0.1650,0.178843,0.054550,1.436395,0.178843,0.054550,1.436395
0.1700,0.178547,0.051834,1.435250,0.178547,0.051834,1.435249
0.1750,0.178276,0.049077,1.434119,0.178276,0.049077,1.434119
0.1800,0.178033,0.046280,1.433005,0.178033,0.046280,1.433004
0.1850,0.177819,0.043446,1.431907,0.177819,0.043446,1.431906
0.1900,0.177636,0.040574,1.430826,0.177636,0.040574,1.430826
0.1950,0.177487,0.037667,1.429764,0.177487,0.037667,1.429763
0.2000,0.177374,0.034726,1.428721,0.177374,0.034726,1.428720
0.2050,0.177299,0.031754,1.427697,0.177299,0.031754,1.427696
0.2100,0.177264,0.028753,1.426693,0.177264,0.028752,1.426692
0.2150,0.177271,0.025723,1.425709,0.177271,0.025723,1.425708
0.2200,0.177323,0.022668,1.424746,0.177323,0.022668,1.424745
0.2250,0.177421,0.019590,1.423804,0.177422,0.019590,1.423803
0.2300,0.177569,0.016490,1.422883,0.177569,0.016490,1.422882
0.2350,0.177768,0.013372,1.421984,0.177768,0.013372,1.421983
0.2400,0.178021,0.010238,1.421106,0.178021,0.010238,1.421105
0.2450,0.178329,0.007090,1.420250,0.178329,0.007090,1.420249
0.2500,0.178695,0.003932,1.419415,0.178696,0.003931,1.419414
0.2550,0.179122,0.000764,1.418602,0.179123,0.000764,1.418601
0.2600,0.179612,-0.002409,1.417810,0.179612,-0.002409,1.417809
0.2650,0.180166,-0.005585,1.417038,0.180166,-0.005585,1.417037
0.2700,0.180787,-0.008762,1.416287,0.180787,-0.008763,1.416286
0.2750,0.181477,-0.011938,1.415556,0.181477,-0.011938,1.415555
0.2800,0.182237,-0.015109,1.414845,0.182237,-0.015110,1.414844
0.2850,0.183069,-0.018274,1.414153,0.183070,-0.018274,1.414152
0.2900,0.183975,-0.021430,1.413480,0.183976,-0.021430,1.413479
0.2950,0.184956,-0.024575,1.412824,0.184957,-0.024575,1.412823
0.3000,0.186014,-0.027707,1.412186,0.186014,-0.027707,1.412184
0.3050,0.187148,-0.030823,1.411563,0.187149,-0.030823,1.411562
0.3100,0.188362,-0.033922,1.410956,0.188363,-0.033922,1.410954
0.3150,0.189655,-0.037001,1.410363,0.189655,-0.037001,1.410361
0.3200,0.191028,-0.040059,1.409784,0.191028,-0.040060,1.409782
0.3250,0.192482,-0.043094,1.409217,0.192482,-0.043094,1.409216
0.3300,0.194017,-0.046104,1.408663,0.194018,-0.046104,1.408661
0.3350,0.195634,-0.049087,1.408119,0.195635,-0.049088,1.408117
0.3400,0.197334,-0.052042,1.407586,0.197335,-0.052042,1.407584
0.3450,0.199117,-0.054967,1.407062,0.199118,-0.054967,1.407060
0.3500,0.200982,-0.057860,1.406547,0.200983,-0.057861,1.406545
0.3550,0.202931,-0.060720,1.406039,0.202932,-0.060721,1.406037
0.3600,0.204962,-0.063546,1.405539,0.204963,-0.063547,1.405537
0.3650,0.207077,-0.066336,1.405045,0.207078,-0.066337,1.405043
0.3700,0.209275,-0.069089,1.404557,0.209276,-0.069089,1.404555
0.3750,0.211555,-0.071803,1.404074,0.211556,-0.071804,1.404072
0.3800,0.213918,-0.074478,1.403596,0.213920,-0.074479,1.403594
0.3850,0.216364,-0.077113,1.403122,0.216365,-0.077113,1.403120
0.3900,0.218891,-0.079705,1.402651,0.218892,-0.079705,1.402649
0.3950,0.221500,-0.082255,1.402184,0.221501,-0.082255,1.402182
0.4000,0.224190,-0.084760,1.401719,0.224191,-0.084761,1.401717
0.4050,0.226960,-0.087221,1.401257,0.226961,-0.087222,1.401255
0.4100,0.229810,-0.089637,1.400797,0.229811,-0.089638,1.400794
0.4150,0.232739,-0.092006,1.400339,0.232741,-0.092007,1.400336
0.4200,0.235747,-0.094328,1.399882,0.235748,-0.094329,1.399880
0.4250,0.238832,-0.096602,1.399427,0.238833,-0.096603,1.399425
0.4300,0.241994,-0.098827,1.398974,0.241995,-0.098828,1.398971
0.4350,0.245232,-0.101003,1.398522,0.245233,-0.101004,1.398519
0.4400,0.248544,-0.103130,1.398071,0.248546,-0.103131,1.398069
0.4450,0.251931,-0.105206,1.397622,0.251933,-0.105207,1.397619
0.4500,0.255391,-0.107231,1.397174,0.255393,-0.107232,1.397172
0.4550,0.258922,-0.109205,1.396729,0.258924,-0.109206,1.396726
0.4600,0.262525,-0.111127,1.396285,0.262527,-0.111128,1.396282
0.4650,0.266197,-0.112997,1.395843,0.266199,-0.112998,1.395840
0.4700,0.269937,-0.114815,1.395403,0.269939,-0.114816,1.395401
0.4750,0.273744,-0.116580,1.394967,0.273746,-0.116581,1.394964
0.4800,0.277617,-0.118292,1.394533,0.277619,-0.118293,1.394531
0.4850,0.281554,-0.119951,1.394103,0.281556,-0.119952,1.394101
0.4900,0.285554,-0.121557,1.393678,0.285556,-0.121558,1.393675
0.4950,0.289615,-0.123109,1.393256,0.289618,-0.123110,1.393253
0.5000,0.293737,-0.124607,1.392840,0.293739,-0.124608,1.392836
0.5050,0.297917,-0.126052,1.392429,0.297919,-0.126053,1.392425
0.5100,0.302153,-0.127444,1.392024,0.302156,-0.127445,1.392021
0.5150,0.306445,-0.128782,1.391625,0.306448,-0.128783,1.391622
0.5200,0.310791,-0.130066,1.391235,0.310793,-0.130067,1.391231
0.5250,0.315188,-0.131296,1.390852,0.315191,-0.131297,1.390849
0.5300,0.319635,-0.132474,1.390478,0.319638,-0.132475,1.390474
0.5350,0.324130,-0.133598,1.390113,0.324133,-0.133599,1.390110
0.5400,0.328671,-0.134669,1.389758,0.328675,-0.134670,1.389755
0.5450,0.333257,-0.135687,1.389415,0.333261,-0.135688,1.389411
0.5500,0.337886,-0.136653,1.389083,0.337889,-0.136654,1.389079
0.5550,0.342554,-0.137566,1.388763,0.342558,-0.137567,1.388759
0.5600,0.347261,-0.138427,1.388456,0.347265,-0.138428,1.388452
0.5650,0.352005,-0.139237,1.388163,0.352009,-0.139238,1.388159
