t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.0050,0.204722,0.078126,1.262388,0.204722,0.078126,1.262388
0.0100,0.203561,0.077298,1.263335,0.203561,0.077298,1.263335
0.0150,0.202437,0.076509,1.264353,0.202437,0.076509,1.264353
0.0200,0.201351,0.075760,1.265457,0.201351,0.075760,1.265457
0.0250,0.200304,0.075053,1.266666,0.200304,0.075053,1.266666
0.0300,0.199297,0.074389,1.267995,0.199297,0.074389,1.267995
0.0350,0.198330,0.073769,1.269459,0.198330,0.073769,1.269459
0.0400,0.197404,0.073192,1.271071,0.197404,0.073192,1.271071
0.0450,0.196517,0.072659,1.272840,0.196517,0.072659,1.272840
0.0500,0.195668,0.072166,1.274772,0.195668,0.072166,1.274772
0.0550,0.194855,0.071712,1.276870,0.194855,0.071712,1.276870
0.0600,0.194075,0.071294,1.279131,0.194075,0.071294,1.279131
0.0650,0.193325,0.070906,1.281552,0.193325,0.070906,1.281552
0.0700,0.192601,0.070545,1.284123,0.192601,0.070545,1.284123
0.0750,0.191898,0.070205,1.286832,0.191898,0.070205,1.286832
0.0800,0.191213,0.069880,1.289662,0.191213,0.069880,1.289662
0.0850,0.190541,0.069566,1.292594,0.190541,0.069566,1.292594
0.0900,0.189876,0.069257,1.295603,0.189876,0.069257,1.295603
0.0950,0.189215,0.068950,1.298663,0.189215,0.068950,1.298663
0.1000,0.188554,0.068640,1.301750,0.188554,0.068640,1.301750
0.1050,0.187890,0.068325,1.304846,0.187890,0.068325,1.304846
0.1100,0.187219,0.068002,1.307940,0.187219,0.068002,1.307940
0.1150,0.186537,0.067668,1.311029,0.186537,0.067668,1.311029
0.1200,0.185841,0.067320,1.314113,0.185841,0.067320,1.314113
0.1250,0.185126,0.066957,1.317196,0.185126,0.066957,1.317196
0.1300,0.184386,0.066575,1.320286,0.184386,0.066575,1.320286
0.1350,0.183617,0.066171,1.323392,0.183617,0.066171,1.323392
0.1400,0.182811,0.065743,1.326523,0.182811,0.065743,1.326523
0.1450,0.181962,0.065287,1.329688,0.181962,0.065287,1.329688
0.1500,0.181061,0.064801,1.332897,0.181061,0.064801,1.332897
0.1550,0.180101,0.064280,1.336158,0.180101,0.064280,1.336158
0.1600,0.179074,0.063724,1.339479,0.179074,0.063724,1.339479
0.1650,0.177971,0.063127,1.342866,0.177971,0.063127,1.342866
0.1700,0.176783,0.062488,1.346324,0.176783,0.062488,1.346324
0.1750,0.175504,0.061804,1.349855,0.175504,0.061804,1.349855
0.1800,0.174124,0.061072,1.353460,0.174124,0.061072,1.353460
0.1850,0.172640,0.060290,1.357136,0.172640,0.060290,1.357136
0.1900,0.171045,0.059456,1.360881,0.171045,0.059456,1.360881
0.1950,0.169335,0.058568,1.364687,0.169335,0.058568,1.364687
0.2000,0.167508,0.057625,1.368549,0.167508,0.057625,1.368549
0.2050,0.165563,0.056626,1.372456,0.165563,0.056626,1.372456
0.2100,0.163500,0.055570,1.376399,0.163500,0.055570,1.376399
0.2150,0.161323,0.054457,1.380366,0.161323,0.054457,1.380366
0.2200,0.159033,0.053287,1.384343,0.159033,0.053287,1.384343
0.2250,0.156636,0.052060,1.388319,0.156636,0.052060,1.388319
0.2300,0.154135,0.050778,1.392285,0.154135,0.050778,1.392285
0.2350,0.151537,0.049440,1.396229,0.151537,0.049440,1.396229
0.2400,0.148846,0.048048,1.400142,0.148846,0.048048,1.400142
0.2450,0.146067,0.046602,1.404018,0.146067,0.046602,1.404018
0.2500,0.143207,0.045105,1.407847,0.143207,0.045105,1.407847
0.2550,0.140273,0.043557,1.411621,0.140273,0.043557,1.411621
0.2600,0.137271,0.041963,1.415333,0.137271,0.041963,1.415333
0.2650,0.134207,0.040324,1.418973,0.134207,0.040324,1.418973
0.2700,0.131089,0.038644,1.422537,0.131089,0.038644,1.422537
0.2750,0.127921,0.036925,1.426020,0.127921,0.036925,1.426020
0.2800,0.124708,0.035170,1.429419,0.124708,0.035170,1.429419
0.2850,0.121456,0.033382,1.432730,0.121456,0.033382,1.432730
0.2900,0.118170,0.031565,1.435950,0.118170,0.031565,1.435950
0.2950,0.114854,0.029722,1.439075,0.114854,0.029722,1.439075
0.3000,0.111515,0.027858,1.442101,0.111515,0.027858,1.442101
0.3050,0.108155,0.025976,1.445025,0.108155,0.025976,1.445025
0.3100,0.104778,0.024079,1.447849,0.104778,0.024079,1.447849
0.3150,0.101388,0.022169,1.450579,0.101388,0.022169,1.450579
0.3200,0.097986,0.020251,1.453219,0.097986,0.020251,1.453219
0.3250,0.094575,0.018327,1.455777,0.094575,0.018327,1.455777
0.3300,0.091157,0.016401,1.458262,0.091157,0.016401,1.458262
0.3350,0.087735,0.014476,1.460682,0.087735,0.014476,1.460682
0.3400,0.084312,0.012557,1.463046,0.084312,0.012557,1.463046
0.3450,0.080891,0.010647,1.465362,0.080891,0.010647,1.465362
0.3500,0.077473,0.008752,1.467638,0.077473,0.008752,1.467638
0.3550,0.074062,0.006875,1.469880,0.074062,0.006875,1.469880
0.3600,0.070660,0.005022,1.472095,0.070660,0.005022,1.472095
0.3650,0.067270,0.003197,1.474287,0.067270,0.003197,1.474287
0.3700,0.063893,0.001403,1.476459,0.063893,0.001403,1.476459
0.3750,0.060531,-0.000355,1.478615,0.060531,-0.000355,1.478615
0.3800,0.057187,-0.002076,1.480754,0.057187,-0.002076,1.480754
0.3850,0.053860,-0.003755,1.482876,0.053860,-0.003755,1.482876
0.3900,0.050553,-0.005393,1.484980,0.050553,-0.005393,1.484980
0.3950,0.047266,-0.006987,1.487062,0.047266,-0.006987,1.487062
0.4000,0.043998,-0.008539,1.489121,0.043998,-0.008539,1.489121
0.4050,0.040751,-0.010047,1.491153,0.040751,-0.010047,1.491153
0.4100,0.037523,-0.011513,1.493153,0.037523,-0.011513,1.493153
0.4150,0.034315,-0.012939,1.495121,0.034315,-0.012939,1.495121
0.4200,0.031125,-0.014327,1.497051,0.031125,-0.014327,1.497051
0.4250,0.027954,-0.015678,1.498943,0.027954,-0.015678,1.498943
0.4300,0.024801,-0.016997,1.500794,0.024801,-0.016997,1.500794
0.4350,0.021665,-0.018285,1.502601,0.021665,-0.018285,1.502601
0.4400,0.018545,-0.019547,1.504364,0.018545,-0.019547,1.504364
0.4450,0.015439,-0.020785,1.506081,0.015439,-0.020785,1.506081
0.4500,0.012349,-0.022005,1.507747,0.012349,-0.022005,1.507747
0.4550,0.009271,-0.023209,1.509361,0.009271,-0.023209,1.509361
0.4600,0.006206,-0.024401,1.510918,0.006206,-0.024401,1.510918
0.4650,0.003154,-0.025586,1.512420,0.003154,-0.025586,1.512420
0.4700,0.000112,-0.026767,1.513868,0.000112,-0.026767,1.513868
0.4750,-0.002918,-0.027947,1.515265,-0.002918,-0.027947,1.515265
0.4800,-0.005937,-0.029129,1.516614,-0.005937,-0.029129,1.516614
0.4850,-0.008946,-0.030318,1.517919,-0.008946,-0.030318,1.517919
0.4900,-0.011944,-0.031515,1.519183,-0.011944,-0.031515,1.519183
0.4950,-0.014931,-0.032724,1.520411,-0.014931,-0.032724,1.520411
0.5000,-0.017906,-0.033948,1.521605,-0.017906,-0.033948,1.521605
0.5050,-0.020870,-0.035188,1.522767,-0.020870,-0.035188,1.522767
0.5100,-0.023820,-0.036446,1.523900,-0.023820,-0.036446,1.523900
0.5150,-0.026757,-0.037723,1.525006,-0.026757,-0.037723,1.525006
0.5200,-0.029679,-0.039021,1.526086,-0.029679,-0.039021,1.526086
0.5250,-0.032585,-0.040339,1.527141,-0.032585,-0.040339,1.527141
0.5300,-0.035473,-0.041677,1.528173,-0.035473,-0.041677,1.528173
0.5350,-0.038342,-0.043035,1.529183,-0.038342,-0.043035,1.529183
0.5400,-0.041191,-0.044412,1.530169,-0.041191,-0.044412,1.530169
0.5450,-0.044018,-0.045806,1.531132,-0.044018,-0.045806,1.531132
0.5500,-0.046822,-0.047215,1.532072,-0.046822,-0.047215,1.532072
0.5550,-0.049601,-0.048638,1.532988,-0.049601,-0.048638,1.532988
0.5600,-0.052354,-0.050072,1.533879,-0.052354,-0.050072,1.533879
0.5650,-0.055079,-0.051515,1.534745,-0.055079,-0.051515,1.534745
0.5700,-0.057776,-0.052965,1.535585,-0.057776,-0.052965,1.535585
0.5750,-0.060443,-0.054419,1.536400,-0.060443,-0.054419,1.536400
0.5800,-0.063078,-0.055874,1.537190,-0.063078,-0.055874,1.537190
0.5850,-0.065682,-0.057329,1.537955,-0.065682,-0.057329,1.537955
0.5900,-0.068253,-0.058781,1.538697,-0.068253,-0.058781,1.538697
0.5950,-0.070790,-0.060229,1.539418,-0.070790,-0.060229,1.539418
0.6000,-0.073292,-0.061669,1.540118,-0.073292,-0.061669,1.540118
0.6050,-0.075759,-0.063101,1.540799,-0.075759,-0.063101,1.540799
0.6100,-0.078190,-0.064523,1.541462,-0.078190,-0.064523,1.541462
0.6150,-0.080586,-0.065933,1.542109,-0.080586,-0.065933,1.542109
0.6200,-0.082945,-0.067331,1.542741,-0.082945,-0.067331,1.542741
0.6250,-0.085268,-0.068716,1.543358,-0.085268,-0.068716,1.543358
0.6300,-0.087555,-0.070088,1.543961,-0.087555,-0.070088,1.543961
0.6350,-0.089805,-0.071447,1.544552,-0.089805,-0.071447,1.544552
0.6400,-0.092021,-0.072792,1.545132,-0.092021,-0.072792,1.545132
0.6450,-0.094201,-0.074126,1.545700,-0.094201,-0.074126,1.545700
0.6500,-0.096346,-0.075449,1.546259,-0.096346,-0.075449,1.546259
0.6550,-0.098457,-0.076762,1.546808,-0.098457,-0.076762,1.546808
0.6600,-0.100534,-0.078067,1.547349,-0.100534,-0.078067,1.547349
0.6650,-0.102579,-0.079365,1.547882,-0.102579,-0.079365,1.547882
0.6700,-0.104591,-0.080659,1.548408,-0.104591,-0.080659,1.548408
0.6750,-0.106572,-0.081951,1.548926,-0.106572,-0.081951,1.548926
0.6800,-0.108522,-0.083243,1.549436,-0.108522,-0.083243,1.549436
0.6850,-0.110443,-0.084537,1.549938,-0.110443,-0.084537,1.549938
0.6900,-0.112334,-0.085835,1.550432,-0.112334,-0.085835,1.550432
0.6950,-0.114197,-0.087140,1.550917,-0.114197,-0.087140,1.550917
0.7000,-0.116031,-0.088454,1.551391,-0.116031,-0.088454,1.551391
0.7050,-0.117839,-0.089779,1.551855,-0.117839,-0.089779,1.551855
0.7100,-0.119619,-0.091117,1.552308,-0.119619,-0.091117,1.552308
0.7150,-0.121372,-0.092468,1.552749,-0.121372,-0.092468,1.552749
0.7200,-0.123099,-0.093836,1.553179,-0.123099,-0.093836,1.553179
0.7250,-0.124799,-0.095220,1.553599,-0.124799,-0.095220,1.553599
0.7300,-0.126472,-0.096622,1.554008,-0.126472,-0.096622,1.554008
0.7350,-0.128117,-0.098042,1.554408,-0.128117,-0.098042,1.554408
0.7400,-0.129736,-0.099481,1.554799,-0.129736,-0.099481,1.554799
0.7450,-0.131326,-0.100940,1.555182,-0.131326,-0.100940,1.555182
0.7500,-0.132888,-0.102417,1.555557,-0.132888,-0.102417,1.555557
0.7550,-0.134420,-0.103913,1.555924,-0.134420,-0.103913,1.555924
0.7600,-0.135923,-0.105427,1.556285,-0.135923,-0.105427,1.556285
0.7650,-0.137396,-0.106959,1.556638,-0.137396,-0.106959,1.556638
0.7700,-0.138838,-0.108507,1.556983,-0.138838,-0.108507,1.556983
0.7750,-0.140248,-0.110070,1.557322,-0.140248,-0.110070,1.557322
0.7800,-0.141627,-0.111648,1.557652,-0.141627,-0.111648,1.557652
0.7850,-0.142973,-0.113238,1.557976,-0.142973,-0.113238,1.557976
0.7900,-0.144286,-0.114839,1.558292,-0.144286,-0.114839,1.558292
0.7950,-0.145566,-0.116451,1.558600,-0.145566,-0.116451,1.558600
0.8000,-0.146812,-0.118071,1.558900,-0.146812,-0.118071,1.558900
0.8050,-0.148023,-0.119699,1.559192,-0.148023,-0.119699,1.559192
0.8100,-0.149200,-0.121333,1.559477,-0.149200,-0.121333,1.559477
0.8150,-0.150343,-0.122972,1.559754,-0.150343,-0.122972,1.559754
0.8200,-0.151450,-0.124614,1.560023,-0.151450,-0.124614,1.560023
0.8250,-0.152523,-0.126260,1.560284,-0.152523,-0.126260,1.560284
0.8300,-0.153561,-0.127908,1.560537,-0.153561,-0.127907,1.560537
0.8350,-0.154564,-0.129556,1.560783,-0.154564,-0.129556,1.560783
0.8400,-0.155532,-0.131206,1.561021,-0.155532,-0.131206,1.561021
0.8450,-0.156466,-0.132856,1.561251,-0.156466,-0.132856,1.561251
0.8500,-0.157366,-0.134507,1.561474,-0.157366,-0.134507,1.561474
