t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.0050,-0.002800,0.061121,1.386520,-0.002800,0.061121,1.386520
0.0100,-0.002544,0.061368,1.387775,-0.002544,0.061368,1.387775
0.0150,-0.002275,0.061614,1.388950,-0.002275,0.061614,1.388950
0.0200,-0.001990,0.061860,1.390060,-0.001990,0.061860,1.390060
0.0250,-0.001689,0.062106,1.391114,-0.001689,0.062106,1.391114
0.0300,-0.001373,0.062350,1.392122,-0.001373,0.062350,1.392122
0.0350,-0.001040,0.062594,1.393092,-0.001040,0.062594,1.393092
0.0400,-0.000689,0.062837,1.394033,-0.000689,0.062837,1.394033
0.0450,-0.000322,0.063078,1.394949,-0.000322,0.063078,1.394949
0.0500,0.000062,0.063318,1.395847,0.000062,0.063318,1.395847
0.0550,0.000462,0.063555,1.396731,0.000462,0.063555,1.396731
0.0600,0.000879,0.063790,1.397605,0.000879,0.063790,1.397605
0.0650,0.001312,0.064021,1.398473,0.001312,0.064021,1.398473
0.0700,0.001760,0.064248,1.399337,0.001760,0.064248,1.399337
0.0750,0.002222,0.064471,1.400200,0.002222,0.064471,1.400200
0.0800,0.002698,0.064688,1.401064,0.002698,0.064688,1.401064
0.0850,0.003187,0.064900,1.401932,0.003187,0.064900,1.401932
0.0900,0.003688,0.065104,1.402804,0.003688,0.065104,1.402804
0.0950,0.004200,0.065301,1.403683,0.004200,0.065301,1.403683
0.1000,0.004721,0.065490,1.404570,0.004721,0.065490,1.404570
0.1050,0.005251,0.065669,1.405465,0.005251,0.065669,1.405465
0.1100,0.005787,0.065837,1.406371,0.005787,0.065837,1.406371
0.1150,0.006329,0.065994,1.407287,0.006329,0.065994,1.407287
0.1200,0.006875,0.066138,1.408214,0.006875,0.066138,1.408214
0.1250,0.007423,0.066269,1.409152,0.007423,0.066269,1.409152
0.1300,0.007971,0.066386,1.410100,0.007971,0.066386,1.410100
0.1350,0.008519,0.066486,1.411060,0.008519,0.066486,1.411060
0.1400,0.009063,0.066570,1.412031,0.009063,0.066570,1.412031
0.1450,0.009603,0.066636,1.413015,0.009603,0.066636,1.413015
0.1500,0.010135,0.066683,1.414012,0.010135,0.066683,1.414012
0.1550,0.010659,0.066710,1.415025,0.010659,0.066710,1.415025
0.1600,0.011171,0.066715,1.416054,0.011171,0.066715,1.416054
0.1650,0.011670,0.066697,1.417101,0.011670,0.066697,1.417101
0.1700,0.012153,0.066655,1.418168,0.012153,0.066655,1.418168
0.1750,0.012617,0.066588,1.419255,0.012617,0.066588,1.419255
0.1800,0.013061,0.066493,1.420365,0.013061,0.066493,1.420365
0.1850,0.013482,0.066370,1.421497,0.013482,0.066370,1.421497
0.1900,0.013876,0.066218,1.422652,0.013876,0.066218,1.422652
0.1950,0.014241,0.066035,1.423832,0.014241,0.066035,1.423832
0.2000,0.014576,0.065820,1.425035,0.014576,0.065820,1.425035
0.2050,0.014875,0.065571,1.426264,0.014875,0.065571,1.426264
0.2100,0.015138,0.065288,1.427517,0.015138,0.065288,1.427517
0.2150,0.015361,0.064969,1.428795,0.015361,0.064969,1.428795
0.2200,0.015541,0.064612,1.430097,0.015541,0.064612,1.430097
0.2250,0.015675,0.064216,1.431425,0.015675,0.064216,1.431425
0.2300,0.015760,0.063781,1.432778,0.015760,0.063781,1.432778
0.2350,0.015792,0.063304,1.434156,0.015792,0.063304,1.434156
0.2400,0.015770,0.062784,1.435559,0.015770,0.062784,1.435559
0.2450,0.015689,0.062220,1.436986,0.015689,0.062220,1.436986
0.2500,0.015546,0.061611,1.438437,0.015546,0.061611,1.438437
0.2550,0.015339,0.060955,1.439912,0.015339,0.060955,1.439912
0.2600,0.015063,0.060250,1.441410,0.015063,0.060250,1.441410
0.2650,0.014716,0.059497,1.442930,0.014716,0.059497,1.442930
0.2700,0.014294,0.058693,1.444471,0.014294,0.058693,1.444471
0.2750,0.013794,0.057837,1.446033,0.013794,0.057837,1.446033
0.2800,0.013212,0.056927,1.447615,0.013212,0.056927,1.447615
0.2850,0.012546,0.055964,1.449214,0.012546,0.055964,1.449214
0.2900,0.011792,0.054945,1.450830,0.011792,0.054945,1.450830
0.2950,0.010947,0.053869,1.452461,0.010947,0.053869,1.452461
0.3000,0.010007,0.052736,1.454105,0.010007,0.052736,1.454105
0.3050,0.008970,0.051543,1.455762,0.008970,0.051543,1.455762
0.3100,0.007834,0.050291,1.457430,0.007834,0.050291,1.457430
0.3150,0.006594,0.048977,1.459106,0.006594,0.048977,1.459106
0.3200,0.005248,0.047600,1.460789,0.005248,0.047600,1.460789
0.3250,0.003795,0.046159,1.462476,0.003795,0.046159,1.462476
0.3300,0.002232,0.044654,1.464167,0.002232,0.044654,1.464167
0.3350,0.000556,0.043082,1.465859,0.000556,0.043082,1.465859
0.3400,-0.001235,0.041443,1.467550,-0.001235,0.041443,1.467550
0.3450,-0.003142,0.039735,1.469238,-0.003142,0.039735,1.469238
0.3500,-0.005167,0.037958,1.470921,-0.005167,0.037958,1.470921
0.3550,-0.007312,0.036109,1.472596,-0.007312,0.036109,1.472596
0.3600,-0.009578,0.034187,1.474262,-0.009578,0.034187,1.474262
0.3650,-0.011967,0.032192,1.475916,-0.011967,0.032192,1.475916
0.3700,-0.014480,0.030121,1.477556,-0.014480,0.030121,1.477556
0.3750,-0.017117,0.027974,1.479180,-0.017117,0.027974,1.479180
0.3800,-0.019880,0.025748,1.480786,-0.019880,0.025748,1.480786
0.3850,-0.022770,0.023444,1.482371,-0.022770,0.023444,1.482371
0.3900,-0.025786,0.021059,1.483933,-0.025786,0.021059,1.483933
0.3950,-0.028931,0.018591,1.485470,-0.028931,0.018591,1.485470
0.4000,-0.032203,0.016040,1.486979,-0.032203,0.016040,1.486979
0.4050,-0.035603,0.013405,1.488459,-0.035603,0.013405,1.488459
0.4100,-0.039131,0.010683,1.489908,-0.039131,0.010683,1.489908
0.4150,-0.042788,0.007874,1.491322,-0.042788,0.007874,1.491322
0.4200,-0.046573,0.004977,1.492702,-0.046573,0.004977,1.492702
0.4250,-0.050485,0.001990,1.494043,-0.050485,0.001990,1.494043
0.4300,-0.054525,-0.001087,1.495345,-0.054525,-0.001087,1.495345
0.4350,-0.058691,-0.004255,1.496606,-0.058691,-0.004255,1.496606
0.4400,-0.062982,-0.007516,1.497824,-0.062982,-0.007516,1.497824
0.4450,-0.067399,-0.010868,1.498997,-0.067399,-0.010868,1.498997
