t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.0050,0.172590,0.090514,1.236277,0.172590,0.090514,1.236277
0.0100,0.172150,0.091829,1.236377,0.172150,0.091829,1.236377
0.0150,0.171655,0.093158,1.236566,0.171655,0.093158,1.236566
0.0200,0.171099,0.094501,1.236875,0.171099,0.094501,1.236875
0.0250,0.170477,0.095861,1.237335,0.170477,0.095861,1.237335
0.0300,0.169784,0.097238,1.237970,0.169784,0.097238,1.237970
0.0350,0.169016,0.098632,1.238801,0.169016,0.098632,1.238801
0.0400,0.168168,0.100043,1.239842,0.168168,0.100043,1.239842
0.0450,0.167238,0.101468,1.241102,0.167238,0.101468,1.241102
0.0500,0.166223,0.102906,1.242585,0.166223,0.102906,1.242585
0.0550,0.165120,0.104354,1.244287,0.165120,0.104354,1.244287
0.0600,0.163929,0.105807,1.246199,0.163929,0.105807,1.246199
0.0650,0.162651,0.107260,1.248304,0.162651,0.107260,1.248304
0.0700,0.161288,0.108709,1.250577,0.161288,0.108709,1.250577
0.0750,0.159844,0.110148,1.252986,0.159844,0.110148,1.252986
0.0800,0.158327,0.111573,1.255489,0.158327,0.111573,1.255489
0.0850,0.156745,0.112980,1.258037,0.156745,0.112980,1.258037
0.0900,0.155107,0.114367,1.260586,0.155107,0.114367,1.260586
0.0950,0.153423,0.115730,1.263097,0.153423,0.115730,1.263097
0.1000,0.151699,0.117069,1.265542,0.151699,0.117069,1.265542
0.1050,0.149939,0.118381,1.267901,0.149939,0.118381,1.267901
0.1100,0.148147,0.119664,1.270161,0.148147,0.119664,1.270161
0.1150,0.146326,0.120915,1.272314,0.146326,0.120915,1.272314
0.1200,0.144479,0.122132,1.274352,0.144479,0.122132,1.274352
0.1250,0.142609,0.123313,1.276268,0.142609,0.123313,1.276268
0.1300,0.140720,0.124453,1.278058,0.140720,0.124453,1.278058
0.1350,0.138814,0.125551,1.279718,0.138814,0.125551,1.279718
0.1400,0.136895,0.126603,1.281245,0.136895,0.126603,1.281245
0.1450,0.134966,0.127606,1.282638,0.134966,0.127606,1.282637
0.1500,0.133032,0.128555,1.283896,0.133032,0.128555,1.283896
0.1550,0.131096,0.129441,1.285026,0.131096,0.129441,1.285026
0.1600,0.129163,0.130253,1.286042,0.129163,0.130253,1.286042
0.1650,0.127242,0.130971,1.286966,0.127242,0.130971,1.286966
0.1700,0.125344,0.131569,1.287827,0.125344,0.131569,1.287827
0.1750,0.123485,0.132015,1.288657,0.123485,0.132015,1.288657
0.1800,0.121689,0.132272,1.289492,0.121689,0.132272,1.289491
0.1850,0.119984,0.132300,1.290363,0.119984,0.132300,1.290363
0.1900,0.118404,0.132057,1.291299,0.118404,0.132057,1.291299
0.1950,0.116986,0.131504,1.292320,0.116986,0.131504,1.292320
0.2000,0.115770,0.130607,1.293440,0.115770,0.130607,1.293440
0.2050,0.114795,0.129333,1.294663,0.114795,0.129333,1.294663
0.2100,0.114101,0.127651,1.295990,0.114101,0.127651,1.295990
0.2150,0.113735,0.125525,1.297427,0.113735,0.125525,1.297427
0.2200,0.113759,0.122896,1.298988,0.113759,0.122896,1.298988
0.2250,0.114226,0.119723,1.300675,0.114226,0.119723,1.300675
0.2300,0.115119,0.116045,1.302432,0.115119,0.116045,1.302432
0.2350,0.116374,0.111951,1.304185,0.116374,0.111951,1.304185
0.2400,0.117931,0.107518,1.305874,0.117931,0.107518,1.305874
0.2450,0.119742,0.102802,1.307457,0.119742,0.102802,1.307457
0.2500,0.121771,0.097845,1.308905,0.121771,0.097845,1.308905
0.2550,0.123993,0.092672,1.310201,0.123993,0.092672,1.310201
0.2600,0.126388,0.087305,1.311333,0.126388,0.087305,1.311333
0.2650,0.128942,0.081757,1.312291,0.128942,0.081757,1.312291
0.2700,0.131640,0.076038,1.313072,0.131640,0.076038,1.313072
0.2750,0.134473,0.070159,1.313670,0.134474,0.070159,1.313670
0.2800,0.137430,0.064128,1.314084,0.137430,0.064128,1.314084
0.2850,0.140500,0.057953,1.314312,0.140500,0.057953,1.314312
0.2900,0.143674,0.051643,1.314356,0.143674,0.051643,1.314356
0.2950,0.146942,0.045206,1.314213,0.146942,0.045206,1.314213
0.3000,0.150297,0.038650,1.313886,0.150297,0.038650,1.313886
0.3050,0.153729,0.031985,1.313375,0.153729,0.031985,1.313375
0.3100,0.157232,0.025217,1.312682,0.157232,0.025217,1.312682
0.3150,0.160798,0.018356,1.311808,0.160798,0.018356,1.311808
0.3200,0.164422,0.011408,1.310755,0.164422,0.011408,1.310755
0.3250,0.168098,0.004381,1.309524,0.168098,0.004381,1.309524
0.3300,0.171822,-0.002718,1.308119,0.171822,-0.002718,1.308119
0.3350,0.175590,-0.009883,1.306542,0.175590,-0.009883,1.306542
0.3400,0.179398,-0.017108,1.304796,0.179398,-0.017107,1.304795
0.3450,0.183243,-0.024386,1.302882,0.183243,-0.024386,1.302882
0.3500,0.187123,-0.031711,1.300804,0.187123,-0.031711,1.300804
0.3550,0.191035,-0.039078,1.298564,0.191035,-0.039077,1.298564
0.3600,0.194976,-0.046478,1.296164,0.194976,-0.046478,1.296164
0.3650,0.198944,-0.053906,1.293606,0.198944,-0.053906,1.293606
0.3700,0.202937,-0.061355,1.290893,0.202937,-0.061355,1.290893
0.3750,0.206953,-0.068820,1.288028,0.206953,-0.068820,1.288028
0.3800,0.210992,-0.076296,1.285014,0.210992,-0.076296,1.285014
0.3850,0.215053,-0.083778,1.281856,0.215053,-0.083778,1.281856
0.3900,0.219134,-0.091260,1.278557,0.219134,-0.091260,1.278557
0.3950,0.223237,-0.098738,1.275122,0.223237,-0.098738,1.275122
0.4000,0.227361,-0.106209,1.271557,0.227361,-0.106209,1.271557
0.4050,0.231507,-0.113667,1.267870,0.231507,-0.113667,1.267870
0.4100,0.235677,-0.121110,1.264071,0.235677,-0.121110,1.264071
0.4150,0.239870,-0.128533,1.260169,0.239870,-0.128533,1.260169
0.4200,0.244088,-0.135930,1.256175,0.244088,-0.135930,1.256175
0.4250,0.248331,-0.143295,1.252099,0.248331,-0.143295,1.252099
0.4300,0.252598,-0.150623,1.247954,0.252598,-0.150623,1.247954
0.4350,0.256889,-0.157906,1.243753,0.256889,-0.157906,1.243753
0.4400,0.261201,-0.165136,1.239506,0.261201,-0.165136,1.239506
0.4450,0.265533,-0.172305,1.235226,0.265533,-0.172305,1.235226
0.4500,0.269881,-0.179404,1.230925,0.269881,-0.179404,1.230925
0.4550,0.274241,-0.186426,1.226612,0.274241,-0.186426,1.226611
0.4600,0.278608,-0.193361,1.222296,0.278608,-0.193361,1.222295
0.4650,0.282977,-0.200201,1.217988,0.282977,-0.200200,1.217987
0.4700,0.287344,-0.206936,1.213700,0.287344,-0.206935,1.213700
0.4750,0.291701,-0.213557,1.209444,0.291701,-0.213557,1.209444
0.4800,0.296044,-0.220055,1.205234,0.296044,-0.220055,1.205234
0.4850,0.300366,-0.226423,1.201078,0.300366,-0.226422,1.201078
0.4900,0.304661,-0.232651,1.196986,0.304661,-0.232651,1.196986
0.4950,0.308922,-0.238735,1.192966,0.308922,-0.238735,1.192966
0.5000,0.313144,-0.244668,1.189023,0.313144,-0.244668,1.189023
0.5050,0.317321,-0.250446,1.185161,0.317321,-0.250446,1.185160
0.5100,0.321448,-0.256066,1.181381,0.321448,-0.256066,1.181381
0.5150,0.325522,-0.261526,1.177684,0.325523,-0.261526,1.177684
0.5200,0.329540,-0.266826,1.174069,0.329540,-0.266826,1.174069
0.5250,0.333497,-0.271964,1.170533,0.333497,-0.271963,1.170533
0.5300,0.337394,-0.276940,1.167074,0.337394,-0.276940,1.167074
0.5350,0.341227,-0.281755,1.163689,0.341227,-0.281755,1.163689
0.5400,0.344996,-0.286409,1.160374,0.344996,-0.286409,1.160374
