t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.0050,-0.108815,-0.081371,1.548942,-0.108815,-0.081371,1.548942
0.0100,-0.108996,-0.080284,1.547972,-0.108996,-0.080284,1.547972
0.0150,-0.109174,-0.079199,1.546822,-0.109174,-0.079199,1.546822
0.0200,-0.109348,-0.078117,1.545494,-0.109348,-0.078117,1.545494
0.0250,-0.109518,-0.077037,1.543993,-0.109518,-0.077037,1.543993
0.0300,-0.109683,-0.075961,1.542321,-0.109683,-0.075961,1.542321
0.0350,-0.109845,-0.074887,1.540485,-0.109845,-0.074887,1.540485
0.0400,-0.110003,-0.073816,1.538489,-0.110003,-0.073816,1.538489
0.0450,-0.110156,-0.072747,1.536340,-0.110156,-0.072747,1.536340
0.0500,-0.110304,-0.071682,1.534044,-0.110304,-0.071682,1.534044
0.0550,-0.110448,-0.070620,1.531608,-0.110448,-0.070620,1.531608
0.0600,-0.110587,-0.069561,1.529036,-0.110587,-0.069561,1.529036
0.0650,-0.110721,-0.068505,1.526334,-0.110721,-0.068505,1.526334
0.0700,-0.110852,-0.067452,1.523506,-0.110852,-0.067452,1.523506
0.0750,-0.110978,-0.066401,1.520558,-0.110978,-0.066401,1.520558
0.0800,-0.111099,-0.065353,1.517497,-0.111099,-0.065353,1.517497
0.0850,-0.111218,-0.064307,1.514329,-0.111218,-0.064307,1.514329
0.0900,-0.111332,-0.063263,1.511063,-0.111332,-0.063263,1.511063
0.0950,-0.111444,-0.062220,1.507706,-0.111444,-0.062220,1.507706
0.1000,-0.111553,-0.061177,1.504265,-0.111553,-0.061177,1.504265
0.1050,-0.111660,-0.060135,1.500750,-0.111660,-0.060135,1.500750
0.1100,-0.111766,-0.059092,1.497167,-0.111766,-0.059092,1.497167
0.1150,-0.111872,-0.058048,1.493526,-0.111872,-0.058048,1.493526
0.1200,-0.111978,-0.057001,1.489834,-0.111978,-0.057001,1.489834
0.1250,-0.112086,-0.055950,1.486097,-0.112086,-0.055950,1.486097
0.1300,-0.112197,-0.054895,1.482325,-0.112197,-0.054895,1.482325
0.1350,-0.112313,-0.053834,1.478523,-0.112313,-0.053834,1.478523
0.1400,-0.112435,-0.052765,1.474699,-0.112435,-0.052765,1.474699
0.1450,-0.112564,-0.051688,1.470860,-0.112564,-0.051688,1.470860
0.1500,-0.112703,-0.050600,1.467011,-0.112703,-0.050600,1.467011
0.1550,-0.112853,-0.049500,1.463159,-0.112853,-0.049500,1.463159
0.1600,-0.113016,-0.048386,1.459309,-0.113016,-0.048386,1.459309
0.1650,-0.113194,-0.047257,1.455467,-0.113194,-0.047257,1.455467
0.1700,-0.113391,-0.046110,1.451637,-0.113391,-0.046110,1.451637
0.1750,-0.113607,-0.044944,1.447825,-0.113607,-0.044944,1.447825
0.1800,-0.113845,-0.043755,1.444035,-0.113845,-0.043755,1.444035
0.1850,-0.114108,-0.042543,1.440270,-0.114108,-0.042543,1.440270
0.1900,-0.114399,-0.041305,1.436535,-0.114399,-0.041305,1.436535
0.1950,-0.114719,-0.040039,1.432832,-0.114719,-0.040039,1.432832
0.2000,-0.115072,-0.038741,1.429165,-0.115072,-0.038741,1.429165
0.2050,-0.115461,-0.037411,1.425536,-0.115461,-0.037411,1.425536
0.2100,-0.115888,-0.036045,1.421948,-0.115888,-0.036045,1.421948
0.2150,-0.116356,-0.034641,1.418403,-0.116356,-0.034641,1.418403
0.2200,-0.116868,-0.033196,1.414902,-0.116868,-0.033196,1.414902
0.2250,-0.117427,-0.031708,1.411446,-0.117427,-0.031708,1.411446
0.2300,-0.118035,-0.030175,1.408036,-0.118035,-0.030175,1.408036
0.2350,-0.118696,-0.028593,1.404672,-0.118696,-0.028593,1.404672
0.2400,-0.119412,-0.026961,1.401354,-0.119412,-0.026961,1.401354
