t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.0050,-0.074583,-0.113591,1.722715,-0.074583,-0.113591,1.722715
0.0100,-0.073642,-0.114653,1.721935,-0.073642,-0.114653,1.721935
0.0150,-0.072679,-0.115706,1.721046,-0.072679,-0.115706,1.721046
0.0200,-0.071686,-0.116748,1.720082,-0.071686,-0.116748,1.720082
0.0250,-0.070658,-0.117777,1.719076,-0.070658,-0.117777,1.719076
0.0300,-0.069588,-0.118792,1.718059,-0.069588,-0.118792,1.718059
0.0350,-0.068469,-0.119793,1.717058,-0.068469,-0.119793,1.717058
0.0400,-0.067296,-0.120779,1.716098,-0.067296,-0.120779,1.716098
0.0450,-0.066061,-0.121750,1.715202,-0.066061,-0.121750,1.715202
0.0500,-0.064757,-0.122708,1.714390,-0.064757,-0.122708,1.714390
0.0550,-0.063376,-0.123654,1.713680,-0.063376,-0.123654,1.713680
0.0600,-0.061909,-0.124590,1.713088,-0.061909,-0.124590,1.713088
0.0650,-0.060348,-0.125519,1.712627,-0.060348,-0.125519,1.712627
0.0700,-0.058683,-0.126444,1.712310,-0.058683,-0.126444,1.712310
0.0750,-0.056904,-0.127368,1.712148,-0.056904,-0.127368,1.712148
0.0800,-0.055000,-0.128296,1.712147,-0.055000,-0.128296,1.712147
0.0850,-0.052961,-0.129233,1.712314,-0.052961,-0.129233,1.712314
0.0900,-0.050779,-0.130183,1.712651,-0.050779,-0.130183,1.712651
0.0950,-0.048442,-0.131151,1.713160,-0.048442,-0.131151,1.713160
0.1000,-0.045943,-0.132143,1.713838,-0.045943,-0.132143,1.713838
0.1050,-0.043273,-0.133164,1.714685,-0.043273,-0.133164,1.714685
0.1100,-0.040425,-0.134219,1.715695,-0.040425,-0.134219,1.715695
0.1150,-0.037392,-0.135313,1.716865,-0.037392,-0.135313,1.716865
0.1200,-0.034168,-0.136451,1.718188,-0.034168,-0.136451,1.718188
0.1250,-0.030749,-0.137636,1.719658,-0.030749,-0.137636,1.719658
0.1300,-0.027132,-0.138872,1.721267,-0.027132,-0.138872,1.721267
0.1350,-0.023314,-0.140162,1.723010,-0.023314,-0.140162,1.723010
