t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.0050,-0.177340,0.058968,1.466703,-0.177340,0.058968,1.466703
0.0100,-0.177237,0.060455,1.467276,-0.177237,0.060455,1.467276
0.0150,-0.177292,0.062075,1.467638,-0.177292,0.062075,1.467638
0.0200,-0.177500,0.063823,1.467797,-0.177500,0.063823,1.467797
0.0250,-0.177856,0.065696,1.467762,-0.177856,0.065696,1.467762
0.0300,-0.178357,0.067691,1.467546,-0.178357,0.067691,1.467546
0.0350,-0.179000,0.069803,1.467161,-0.179000,0.069803,1.467161
0.0400,-0.179782,0.072033,1.466620,-0.179782,0.072033,1.466620
0.0450,-0.180701,0.074376,1.465935,-0.180701,0.074376,1.465935
0.0500,-0.181755,0.076831,1.465116,-0.181755,0.076831,1.465116
0.0550,-0.182943,0.079397,1.464175,-0.182943,0.079397,1.464175
0.0600,-0.184261,0.082072,1.463120,-0.184261,0.082072,1.463120
0.0650,-0.185709,0.084853,1.461962,-0.185709,0.084853,1.461962
0.0700,-0.187284,0.087738,1.460710,-0.187284,0.087738,1.460710
0.0750,-0.188984,0.090725,1.459372,-0.188984,0.090725,1.459372
0.0800,-0.190806,0.093812,1.457956,-0.190806,0.093812,1.457956
0.0850,-0.192750,0.096997,1.456468,-0.192750,0.096997,1.456468
0.0900,-0.194812,0.100278,1.454917,-0.194812,0.100278,1.454917
0.0950,-0.196991,0.103651,1.453309,-0.196991,0.103651,1.453309
0.1000,-0.199283,0.107115,1.451648,-0.199283,0.107115,1.451648
0.1050,-0.201686,0.110666,1.449942,-0.201686,0.110666,1.449942
0.1100,-0.204199,0.114303,1.448194,-0.204199,0.114303,1.448194
0.1150,-0.206817,0.118023,1.446410,-0.206817,0.118023,1.446410
0.1200,-0.209540,0.121824,1.444593,-0.209539,0.121824,1.444593
0.1250,-0.212363,0.125702,1.442749,-0.212363,0.125702,1.442749
0.1300,-0.215284,0.129654,1.440880,-0.215284,0.129654,1.440880
0.1350,-0.218301,0.133679,1.438990,-0.218301,0.133679,1.438990
0.1400,-0.221410,0.137774,1.437082,-0.221410,0.137774,1.437082
0.1450,-0.224609,0.141935,1.435159,-0.224609,0.141935,1.435159
0.1500,-0.227894,0.146160,1.433223,-0.227894,0.146160,1.433223
0.1550,-0.231263,0.150447,1.431277,-0.231263,0.150447,1.431277
0.1600,-0.234712,0.154793,1.429323,-0.234712,0.154793,1.429323
0.1650,-0.238238,0.159194,1.427363,-0.238238,0.159194,1.427363
0.1700,-0.241838,0.163649,1.425399,-0.241838,0.163649,1.425399
0.1750,-0.245509,0.168155,1.423431,-0.245509,0.168155,1.423431
0.1800,-0.249248,0.172709,1.421459,-0.249248,0.172709,1.421459
0.1850,-0.253052,0.177311,1.419481,-0.253052,0.177311,1.419481
0.1900,-0.256919,0.181958,1.417492,-0.256919,0.181958,1.417492
0.1950,-0.260847,0.186649,1.415491,-0.260847,0.186649,1.415491
0.2000,-0.264830,0.191381,1.413476,-0.264830,0.191381,1.413476
0.2050,-0.268866,0.196152,1.411451,-0.268866,0.196152,1.411451
0.2100,-0.272949,0.200957,1.409418,-0.272949,0.200957,1.409418
0.2150,-0.277076,0.205794,1.407383,-0.277076,0.205794,1.407383
0.2200,-0.281240,0.210659,1.405348,-0.281240,0.210659,1.405348
0.2250,-0.285439,0.215551,1.403317,-0.285439,0.215551,1.403317
0.2300,-0.289667,0.220465,1.401293,-0.289667,0.220465,1.401292
0.2350,-0.293920,0.225400,1.399275,-0.293920,0.225400,1.399275
0.2400,-0.298195,0.230354,1.397265,-0.298195,0.230353,1.397265
0.2450,-0.302486,0.235323,1.395263,-0.302486,0.235323,1.395263
0.2500,-0.306790,0.240307,1.393270,-0.306790,0.240307,1.393270
0.2550,-0.311103,0.245302,1.391284,-0.311103,0.245302,1.391284
0.2600,-0.315420,0.250309,1.389305,-0.315420,0.250309,1.389305
0.2650,-0.319739,0.255323,1.387332,-0.319739,0.255323,1.387332
0.2700,-0.324056,0.260344,1.385365,-0.324056,0.260344,1.385365
0.2750,-0.328367,0.265371,1.383401,-0.328367,0.265371,1.383401
