t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.0050,-0.148733,0.271019,1.216251,-0.148733,0.271019,1.216251
0.0100,-0.148812,0.272277,1.215464,-0.148812,0.272277,1.215464
0.0150,-0.148813,0.273411,1.214681,-0.148813,0.273411,1.214681
0.0200,-0.148740,0.274417,1.213932,-0.148740,0.274417,1.213932
0.0250,-0.148594,0.275293,1.213249,-0.148594,0.275293,1.213249
0.0300,-0.148373,0.276034,1.212659,-0.148373,0.276034,1.212659
0.0350,-0.148075,0.276635,1.212183,-0.148075,0.276635,1.212183
0.0400,-0.147697,0.277093,1.211837,-0.147697,0.277093,1.211837
0.0450,-0.147230,0.277403,1.211635,-0.147230,0.277403,1.211635
0.0500,-0.146669,0.277560,1.211583,-0.146669,0.277560,1.211583
0.0550,-0.146005,0.277560,1.211688,-0.146005,0.277560,1.211688
0.0600,-0.145229,0.277400,1.211952,-0.145229,0.277400,1.211952
0.0650,-0.144333,0.277074,1.212376,-0.144333,0.277074,1.212376
0.0700,-0.143309,0.276581,1.212959,-0.143309,0.276581,1.212959
0.0750,-0.142148,0.275917,1.213696,-0.142148,0.275917,1.213696
0.0800,-0.140846,0.275082,1.214582,-0.140846,0.275082,1.214582
0.0850,-0.139396,0.274072,1.215615,-0.139396,0.274072,1.215615
0.0900,-0.137794,0.272887,1.216794,-0.137794,0.272887,1.216794
0.0950,-0.136033,0.271523,1.218118,-0.136033,0.271523,1.218118
0.1000,-0.134111,0.269979,1.219585,-0.134111,0.269979,1.219585
0.1050,-0.132022,0.268255,1.221193,-0.132022,0.268255,1.221193
0.1100,-0.129764,0.266350,1.222936,-0.129764,0.266350,1.222936
0.1150,-0.127335,0.264266,1.224807,-0.127335,0.264266,1.224807
0.1200,-0.124736,0.262004,1.226801,-0.124736,0.262004,1.226801
0.1250,-0.121966,0.259568,1.228908,-0.121966,0.259568,1.228908
0.1300,-0.119027,0.256959,1.231121,-0.119027,0.256959,1.231121
0.1350,-0.115920,0.254182,1.233433,-0.115920,0.254182,1.233433
0.1400,-0.112648,0.251240,1.235836,-0.112648,0.251240,1.235836
0.1450,-0.109214,0.248137,1.238323,-0.109214,0.248137,1.238323
0.1500,-0.105621,0.244876,1.240887,-0.105621,0.244876,1.240887
0.1550,-0.101871,0.241461,1.243521,-0.101871,0.241461,1.243521
0.1600,-0.097968,0.237896,1.246219,-0.097968,0.237896,1.246219
0.1650,-0.093915,0.234184,1.248976,-0.093915,0.234184,1.248976
0.1700,-0.089715,0.230330,1.251785,-0.089715,0.230330,1.251785
0.1750,-0.085372,0.226336,1.254642,-0.085372,0.226336,1.254642
0.1800,-0.080888,0.222206,1.257540,-0.080888,0.222206,1.257539
0.1850,-0.076267,0.217945,1.260474,-0.076267,0.217945,1.260474
0.1900,-0.071513,0.213554,1.263440,-0.071513,0.213554,1.263440
0.1950,-0.066628,0.209038,1.266432,-0.066628,0.209038,1.266432
0.2000,-0.061615,0.204400,1.269446,-0.061615,0.204400,1.269446
0.2050,-0.056478,0.199644,1.272478,-0.056478,0.199644,1.272477
0.2100,-0.051220,0.194772,1.275522,-0.051220,0.194772,1.275522
0.2150,-0.045844,0.189788,1.278576,-0.045844,0.189788,1.278576
0.2200,-0.040354,0.184696,1.281636,-0.040354,0.184696,1.281636
0.2250,-0.034752,0.179498,1.284698,-0.034752,0.179498,1.284698
0.2300,-0.029041,0.174197,1.287760,-0.029041,0.174197,1.287760
0.2350,-0.023226,0.168798,1.290818,-0.023226,0.168798,1.290818
0.2400,-0.017309,0.163302,1.293872,-0.017309,0.163302,1.293872
0.2450,-0.011294,0.157713,1.296918,-0.011294,0.157713,1.296918
0.2500,-0.005183,0.152034,1.299954,-0.005183,0.152034,1.299954
0.2550,0.001020,0.146268,1.302980,0.001020,0.146268,1.302980
0.2600,0.007313,0.140417,1.305993,0.007312,0.140417,1.305993
0.2650,0.013690,0.134486,1.308993,0.013690,0.134486,1.308993
0.2700,0.020151,0.128476,1.311978,0.020151,0.128476,1.311978
0.2750,0.026691,0.122391,1.314948,0.026690,0.122391,1.314948
0.2800,0.033307,0.116234,1.317902,0.033307,0.116234,1.317902
0.2850,0.039996,0.110006,1.320839,0.039996,0.110006,1.320839
0.2900,0.046755,0.103712,1.323759,0.046755,0.103712,1.323759
0.2950,0.053581,0.097354,1.326662,0.053581,0.097354,1.326662
0.3000,0.060472,0.090934,1.329547,0.060472,0.090934,1.329547
0.3050,0.067423,0.084456,1.332415,0.067423,0.084456,1.332415
0.3100,0.074432,0.077922,1.335265,0.074432,0.077922,1.335265
0.3150,0.081496,0.071335,1.338097,0.081496,0.071335,1.338097
0.3200,0.088613,0.064696,1.340911,0.088613,0.064697,1.340911
0.3250,0.095779,0.058010,1.343708,0.095779,0.058010,1.343708
0.3300,0.102992,0.051278,1.346487,0.102991,0.051279,1.346487
0.3350,0.110248,0.044504,1.349249,0.110248,0.044504,1.349249
0.3400,0.117546,0.037688,1.351994,0.117546,0.037688,1.351994
0.3450,0.124882,0.030835,1.354722,0.124882,0.030835,1.354722
0.3500,0.132254,0.023945,1.357432,0.132254,0.023945,1.357432
0.3550,0.139660,0.017023,1.360126,0.139660,0.017023,1.360126
0.3600,0.147097,0.010069,1.362804,0.147096,0.010069,1.362803
0.3650,0.154562,0.003087,1.365464,0.154562,0.003087,1.365464
0.3700,0.162053,-0.003922,1.368109,0.162053,-0.003922,1.368109
0.3750,0.169568,-0.010955,1.370738,0.169568,-0.010955,1.370738
0.3800,0.177104,-0.018010,1.373350,0.177104,-0.018010,1.373350
0.3850,0.184660,-0.025085,1.375947,0.184660,-0.025085,1.375947
0.3900,0.192233,-0.032178,1.378528,0.192232,-0.032177,1.378528
0.3950,0.199820,-0.039286,1.381094,0.199820,-0.039285,1.381094
0.4000,0.207420,-0.046407,1.383644,0.207420,-0.046407,1.383644
0.4050,0.215030,-0.053541,1.386179,0.215030,-0.053540,1.386179
0.4100,0.222649,-0.060683,1.388698,0.222649,-0.060683,1.388698
0.4150,0.230274,-0.067834,1.391202,0.230274,-0.067834,1.391202
0.4200,0.237904,-0.074990,1.393691,0.237904,-0.074990,1.393691
0.4250,0.245536,-0.082150,1.396164,0.245536,-0.082150,1.396164
0.4300,0.253169,-0.089312,1.398623,0.253169,-0.089312,1.398623
0.4350,0.260801,-0.096475,1.401066,0.260801,-0.096475,1.401066
0.4400,0.268430,-0.103636,1.403494,0.268430,-0.103636,1.403494
0.4450,0.276054,-0.110794,1.405907,0.276054,-0.110794,1.405907
0.4500,0.283672,-0.117947,1.408304,0.283672,-0.117947,1.408304
0.4550,0.291282,-0.125094,1.410686,0.291282,-0.125094,1.410686
0.4600,0.298883,-0.132233,1.413053,0.298882,-0.132233,1.413053
0.4650,0.306472,-0.139363,1.415404,0.306471,-0.139363,1.415404
0.4700,0.314048,-0.146482,1.417740,0.314048,-0.146482,1.417740
0.4750,0.321611,-0.153588,1.420060,0.321610,-0.153588,1.420060
0.4800,0.329158,-0.160681,1.422364,0.329157,-0.160681,1.422364
0.4850,0.336688,-0.167759,1.424653,0.336687,-0.167759,1.424653
0.4900,0.344199,-0.174821,1.426926,0.344199,-0.174821,1.426926
0.4950,0.351692,-0.181865,1.429183,0.351691,-0.181865,1.429183
0.5000,0.359163,-0.188891,1.431424,0.359163,-0.188890,1.431424
0.5050,0.366613,-0.195896,1.433649,0.366613,-0.195896,1.433649
0.5100,0.374040,-0.202881,1.435857,0.374040,-0.202881,1.435857
0.5150,0.381442,-0.209844,1.438050,0.381442,-0.209843,1.438050
0.5200,0.388820,-0.216783,1.440226,0.388820,-0.216783,1.440226
0.5250,0.396171,-0.223699,1.442385,0.396171,-0.223699,1.442385
0.5300,0.403495,-0.230590,1.444528,0.403495,-0.230589,1.444528
0.5350,0.410791,-0.237454,1.446655,0.410791,-0.237454,1.446655
0.5400,0.418058,-0.244292,1.448765,0.418058,-0.244292,1.448765
0.5450,0.425295,-0.251103,1.450858,0.425295,-0.251102,1.450858
0.5500,0.432502,-0.257885,1.452934,0.432502,-0.257884,1.452934
0.5550,0.439677,-0.264637,1.454994,0.439677,-0.264637,1.454994
0.5600,0.446820,-0.271360,1.457037,0.446819,-0.271360,1.457037
0.5650,0.453930,-0.278052,1.459063,0.453929,-0.278052,1.459063
0.5700,0.461006,-0.284713,1.461072,0.461006,-0.284713,1.461072
0.5750,0.468048,-0.291342,1.463065,0.468048,-0.291342,1.463065
0.5800,0.475055,-0.297939,1.465040,0.475055,-0.297938,1.465040
0.5850,0.482027,-0.304502,1.466999,0.482026,-0.304502,1.466999
0.5900,0.488962,-0.311032,1.468941,0.488962,-0.311032,1.468941
0.5950,0.495862,-0.317528,1.470866,0.495861,-0.317527,1.470866
0.6000,0.502724,-0.323989,1.472774,0.502723,-0.323989,1.472774
0.6050,0.509548,-0.330415,1.474666,0.509548,-0.330415,1.474666
0.6100,0.516335,-0.336806,1.476541,0.516334,-0.336805,1.476541
0.6150,0.523083,-0.343161,1.478399,0.523083,-0.343160,1.478399
0.6200,0.529793,-0.349480,1.480241,0.529792,-0.349479,1.480241
0.6250,0.536463,-0.355762,1.482066,0.536463,-0.355761,1.482066
0.6300,0.543094,-0.362007,1.483875,0.543094,-0.362006,1.483875
0.6350,0.549685,-0.368215,1.485668,0.549685,-0.368214,1.485667
0.6400,0.556237,-0.374386,1.487444,0.556236,-0.374385,1.487444
0.6450,0.562747,-0.380519,1.489204,0.562747,-0.380518,1.489204
0.6500,0.569218,-0.386614,1.490949,0.569217,-0.386613,1.490948
0.6550,0.575647,-0.392670,1.492677,0.575647,-0.392670,1.492677
0.6600,0.582036,-0.398689,1.494390,0.582035,-0.398688,1.494390
0.6650,0.588383,-0.404669,1.496087,0.588382,-0.404669,1.496087
0.6700,0.594689,-0.410611,1.497769,0.594688,-0.410610,1.497769
0.6750,0.600953,-0.416513,1.499435,0.600953,-0.416513,1.499435
0.6800,0.607176,-0.422377,1.501087,0.607175,-0.422376,1.501086
0.6850,0.613357,-0.428202,1.502723,0.613357,-0.428201,1.502723
0.6900,0.619496,-0.433987,1.504344,0.619496,-0.433987,1.504344
0.6950,0.625594,-0.439734,1.505951,0.625593,-0.439733,1.505951
0.7000,0.631649,-0.445441,1.507544,0.631648,-0.445441,1.507543
0.7050,0.637662,-0.451109,1.509122,0.637661,-0.451109,1.509121
0.7100,0.643633,-0.456738,1.510685,0.643633,-0.456737,1.510685
0.7150,0.649562,-0.462328,1.512235,0.649562,-0.462327,1.512235
0.7200,0.655449,-0.467878,1.513771,0.655448,-0.467877,1.513771
0.7250,0.661294,-0.473389,1.515294,0.661293,-0.473388,1.515294
0.7300,0.667096,-0.478861,1.516803,0.667096,-0.478860,1.516803
0.7350,0.672857,-0.484293,1.518299,0.672856,-0.484292,1.518299
0.7400,0.678575,-0.489686,1.519782,0.678575,-0.489686,1.519781
0.7450,0.684252,-0.495041,1.521252,0.684251,-0.495040,1.521251
0.7500,0.689886,-0.500356,1.522709,0.689885,-0.500355,1.522709
0.7550,0.695479,-0.505632,1.524154,0.695478,-0.505631,1.524153
0.7600,0.701029,-0.510869,1.525586,0.701029,-0.510869,1.525586
0.7650,0.706538,-0.516068,1.527007,0.706538,-0.516067,1.527006
0.7700,0.712006,-0.521228,1.528415,0.712005,-0.521227,1.528415
0.7750,0.717431,-0.526349,1.529812,0.717431,-0.526348,1.529812
0.7800,0.722816,-0.531432,1.531197,0.722815,-0.531431,1.531197
0.7850,0.728158,-0.536476,1.532571,0.728158,-0.536475,1.532571
0.7900,0.733460,-0.541482,1.533934,0.733459,-0.541481,1.533933
0.7950,0.738721,-0.546450,1.535285,0.738720,-0.546449,1.535285
0.8000,0.743940,-0.551380,1.536626,0.743939,-0.551379,1.536626
0.8050,0.749119,-0.556273,1.537957,0.749118,-0.556272,1.537956
0.8100,0.754257,-0.561127,1.539276,0.754256,-0.561126,1.539276
0.8150,0.759354,-0.565944,1.540586,0.759353,-0.565943,1.540585
0.8200,0.764411,-0.570724,1.541885,0.764410,-0.570723,1.541885
0.8250,0.769428,-0.575466,1.543175,0.769427,-0.575465,1.543174
0.8300,0.774404,-0.580172,1.544455,0.774403,-0.580171,1.544454
0.8350,0.779341,-0.584840,1.545725,0.779340,-0.584839,1.545724
0.8400,0.784238,-0.589472,1.546985,0.784237,-0.589471,1.546985
0.8450,0.789095,-0.594067,1.548237,0.789094,-0.594066,1.548236
0.8500,0.793913,-0.598626,1.549479,0.793912,-0.598625,1.549479
0.8550,0.798692,-0.603149,1.550713,0.798691,-0.603148,1.550712
0.8600,0.803431,-0.607635,1.551937,0.803430,-0.607634,1.551936
0.8650,0.808132,-0.612086,1.553153,0.808131,-0.612085,1.553152
0.8700,0.812794,-0.616502,1.554360,0.812793,-0.616501,1.554360
0.8750,0.817418,-0.620881,1.555559,0.817416,-0.620880,1.555559
0.8800,0.822003,-0.625226,1.556750,0.822002,-0.625225,1.556749
0.8850,0.826550,-0.629535,1.557933,0.826549,-0.629534,1.557932
0.8900,0.831059,-0.633810,1.559108,0.831058,-0.633809,1.559107
0.8950,0.835530,-0.638050,1.560274,0.835529,-0.638049,1.560274
